编号,名称,上级
141033,蒲县,1410
141034,汾西县,1410
141081,侯马市,1410
141082,霍州市,1410
1411,吕梁市,14
141102,离石区,1411
141121,文水县,1411
141122,交城县,1411
141123,兴县,1411
141124,临县,1411
141125,柳林县,1411
141126,石楼县,1411
141127,岚县,1411
141128,方山县,1411
141129,中阳县,1411
141130,交口县,1411
141181,孝义市,1411
141182,汾阳市,1411
15,内蒙古自治区, 
1501,呼和浩特市,15
150102,新城区,1501
150103,回民区,1501
150104,玉泉区,1501
150105,赛罕区,1501
150121,土默特左旗,1501
150122,托克托县,1501
150123,和林格尔县,1501
150124,清水河县,1501
150125,武川县,1501
1502,包头市,15
150202,东河区,1502
150203,昆都仑区,1502
150204,青山区,1502
150205,石拐区,1502
150206,白云鄂博矿区,1502
150207,九原区,1502
150221,土默特右旗,1502
150222,固阳县,1502
150223,达尔罕茂明安联合旗,1502
1503,乌海市,15
150302,海勃湾区,1503
150303,海南区,1503
150304,乌达区,1503
1504,赤峰市,15
150402,红山区,1504
150403,元宝山区,1504
150404,松山区,1504
150421,阿鲁科尔沁旗,1504
150422,巴林左旗,1504
150423,巴林右旗,1504
150424,林西县,1504
150425,克什克腾旗,1504
150426,翁牛特旗,1504
150428,喀喇沁旗,1504
150429,宁城县,1504
150430,敖汉旗,1504
1505,通辽市,15
150502,科尔沁区,1505
150521,科尔沁左翼中旗,1505
150522,科尔沁左翼后旗,1505
150523,开鲁县,1505
150524,库伦旗,1505
150525,奈曼旗,1505
150526,扎鲁特旗,1505
150581,霍林郭勒市,1505
1506,鄂尔多斯市,15
150602,东胜区,1506
150603,康巴什区,1506
150621,达拉特旗,1506
150622,准格尔旗,1506
150623,鄂托克前旗,1506
150624,鄂托克旗,1506
150625,杭锦旗,1506
150626,乌审旗,1506
150627,伊金霍洛旗,1506
1507,呼伦贝尔市,15
150702,海拉尔区,1507
150703,扎赉诺尔区,1507
150721,阿荣旗,1507
150722,莫力达瓦达斡尔族自治旗,1507
150723,鄂伦春自治旗,1507
150724,鄂温克族自治旗,1507
150725,陈巴尔虎旗,1507
150726,新巴尔虎左旗,1507
150727,新巴尔虎右旗,1507
150781,满洲里市,1507
150782,牙克石市,1507
150783,扎兰屯市,1507
150784,额尔古纳市,1507
150785,根河市,1507
1508,巴彦淖尔市,15
150802,临河区,1508
150821,五原县,1508
150822,磴口县,1508
150823,乌拉特前旗,1508
150824,乌拉特中旗,1508
150825,乌拉特后旗,1508
150826,杭锦后旗,1508
1509,乌兰察布市,15
150902,集宁区,1509
150921,卓资县,1509
150922,化德县,1509
150923,商都县,1509
150924,兴和县,1509
150925,凉城县,1509
150926,察哈尔右翼前旗,1509
150927,察哈尔右翼中旗,1509
150928,察哈尔右翼后旗,1509
150929,四子王旗,1509
150981,丰镇市,1509
1522,兴安盟,15
152201,乌兰浩特市,1522
152202,阿尔山市,1522
152221,科尔沁右翼前旗,1522
152222,科尔沁右翼中旗,1522
152223,扎赉特旗,1522
152224,突泉县,1522
1525,锡林郭勒盟,15
152501,二连浩特市,1525
152502,锡林浩特市,1525
152522,阿巴嘎旗,1525
152523,苏尼特左旗,1525
152524,苏尼特右旗,1525
152525,东乌珠穆沁旗,1525
152526,西乌珠穆沁旗,1525
152527,太仆寺旗,1525
152528,镶黄旗,1525
152529,正镶白旗,1525
152530,正蓝旗,1525
152531,多伦县,1525
1529,阿拉善盟,15
152921,阿拉善左旗,1529
152922,阿拉善右旗,1529
152923,额济纳旗,1529
21,辽宁省, 
2101,沈阳市,21
210102,和平区,2101
210103,沈河区,2101
210104,大东区,2101
210105,皇姑区,2101
210106,铁西区,2101
210111,苏家屯区,2101
210112,浑南区,2101
210113,沈北新区,2101
210114,于洪区,2101
210115,辽中区,2101
210123,康平县,2101
210124,法库县,2101
210181,新民市,2101
2102,大连市,21
210202,中山区,2102
210203,西岗区,2102
210204,沙河口区,2102
210211,甘井子区,2102
210212,旅顺口区,2102
210213,金州区,2102
210214,普兰店区,2102
210224,长海县,2102
210281,瓦房店市,2102
210283,庄河市,2102
2103,鞍山市,21
210302,铁东区,2103
210303,铁西区,2103
210304,立山区,2103
210311,千山区,2103
210321,台安县,2103
210323,岫岩满族自治县,2103
210381,海城市,2103
2104,抚顺市,21
210402,新抚区,2104
210403,东洲区,2104
210404,望花区,2104
210411,顺城区,2104
210421,抚顺县,2104
210422,新宾满族自治县,2104
210423,清原满族自治县,2104
2105,本溪市,21
210502,平山区,2105
210503,溪湖区,2105
210504,明山区,2105
210505,南芬区,2105
210521,本溪满族自治县,2105
210522,桓仁满族自治县,2105
2106,丹东市,21
210602,元宝区,2106
210603,振兴区,2106
210604,振安区,2106
210624,宽甸满族自治县,2106
210681,东港市,2106
210682,凤城市,2106
2107,锦州市,21
210702,古塔区,2107
210703,凌河区,2107
210711,太和区,2107
210726,黑山县,2107
210727,义县,2107
210781,凌海市,2107
210782,北镇市,2107
2108,营口市,21
210802,站前区,2108
210803,西市区,2108
210804,鲅鱼圈区,2108
210811,老边区,2108
210881,盖州市,2108
210882,大石桥市,2108
2109,阜新市,21
210902,海州区,2109
210903,新邱区,2109
210904,太平区,2109
210905,清河门区,2109
210911,细河区,2109
210921,阜新蒙古族自治县,2109
210922,彰武县,2109
2110,辽阳市,21
211002,白塔区,2110
211003,文圣区,2110
211004,宏伟区,2110
211005,弓长岭区,2110
211011,太子河区,2110
211021,辽阳县,2110
211081,灯塔市,2110
2111,盘锦市,21
211102,双台子区,2111
211103,兴隆台区,2111
211104,大洼区,2111
211122,盘山县,2111
2112,铁岭市,21
211202,银州区,2112
211204,清河区,2112
211221,铁岭县,2112
211223,西丰县,2112
211224,昌图县,2112
211281,调兵山市,2112
211282,开原市,2112
2113,朝阳市,21
211302,双塔区,2113
211303,龙城区,2113
211321,朝阳县,2113
211322,建平县,2113
211324,喀喇沁左翼蒙古族自治县,2113
211381,北票市,2113
211382,凌源市,2113
2114,葫芦岛市,21
211402,连山区,2114
211403,龙港区,2114
211404,南票区,2114
211421,绥中县,2114
211422,建昌县,2114
211481,兴城市,2114
22,吉林省, 
2201,长春市,22
220102,南关区,2201
220103,宽城区,2201
220104,朝阳区,2201
220105,二道区,2201
220106,绿园区,2201
220112,双阳区,2201
220113,九台区,2201
220122,农安县,2201
220182,榆树市,2201
220183,德惠市,2201
2202,吉林市,22
220202,昌邑区,2202
220203,龙潭区,2202
220204,船营区,2202
220211,丰满区,2202
220221,永吉县,2202
220281,蛟河市,2202
220282,桦甸市,2202
220283,舒兰市,2202
220284,磐石市,2202
2203,四平市,22
220302,铁西区,2203
220303,铁东区,2203
220322,梨树县,2203
220323,伊通满族自治县,2203
220381,公主岭市,2203
220382,双辽市,2203
2204,辽源市,22
220402,龙山区,2204
220403,西安区,2204
220421,东丰县,2204
220422,东辽县,2204
2205,通化市,22
220502,东昌区,2205
220503,二道江区,2205
220521,通化县,2205
220523,辉南县,2205
220524,柳河县,2205
220581,梅河口市,2205
220582,集安市,2205
2206,白山市,22
220602,浑江区,2206
220605,江源区,2206
220621,抚松县,2206
220622,靖宇县,2206
220623,长白朝鲜族自治县,2206
220681,临江市,2206
2207,松原市,22
220702,宁江区,2207
220721,前郭尔罗斯蒙古族自治县,2207
220722,长岭县,2207
220723,乾安县,2207
220781,扶余市,2207
2208,白城市,22
220802,洮北区,2208
220821,镇赉县,2208
220822,通榆县,2208
220881,洮南市,2208
220882,大安市,2208
2224,延边朝鲜族自治州,22
222401,延吉市,2224
222402,图们市,2224
222403,敦化市,2224
222404,珲春市,2224
222405,龙井市,2224
222406,和龙市,2224
222424,汪清县,2224
222426,安图县,2224
23,黑龙江省, 
2301,哈尔滨市,23
230102,道里区,2301
230103,南岗区,2301
230104,道外区,2301
230108,平房区,2301
230109,松北区,2301
230110,香坊区,2301
230111,呼兰区,2301
230112,阿城区,2301
230113,双城区,2301
230123,依兰县,2301
230124,方正县,2301
230125,宾县,2301
230126,巴彦县,2301
230127,木兰县,2301
230128,通河县,2301
230129,延寿县,2301
230183,尚志市,2301
230184,五常市,2301
2302,齐齐哈尔市,23
230202,龙沙区,2302
230203,建华区,2302
230204,铁锋区,2302
230205,昂昂溪区,2302
230206,富拉尔基区,2302
230207,碾子山区,2302
230208,梅里斯达斡尔族区,2302
230221,龙江县,2302
230223,依安县,2302
230224,泰来县,2302
230225,甘南县,2302
230227,富裕县,2302
230229,克山县,2302
230230,克东县,2302
230231,拜泉县,2302
230281,讷河市,2302
2303,鸡西市,23
230302,鸡冠区,2303
230303,恒山区,2303
230304,滴道区,2303
230305,梨树区,2303
230306,城子河区,2303
230307,麻山区,2303
230321,鸡东县,2303
230381,虎林市,2303
230382,密山市,2303
2304,鹤岗市,23
230402,向阳区,2304
230403,工农区,2304
230404,南山区,2304
230405,兴安区,2304
230406,东山区,2304
230407,兴山区,2304
230421,萝北县,2304
230422,绥滨县,2304
2305,双鸭山市,23
230502,尖山区,2305
230503,岭东区,2305
230505,四方台区,2305
230506,宝山区,2305
230521,集贤县,2305
230522,友谊县,2305
230523,宝清县,2305
230524,饶河县,2305
2306,大庆市,23
230602,萨尔图区,2306
230603,龙凤区,2306
230604,让胡路区,2306
230605,红岗区,2306
230606,大同区,2306
230621,肇州县,2306
230622,肇源县,2306
230623,林甸县,2306
230624,杜尔伯特蒙古族自治县,2306
2307,伊春市,23
230702,伊春区,2307
230703,南岔区,2307
230704,友好区,2307
230705,西林区,2307
230706,翠峦区,2307
230707,新青区,2307
230708,美溪区,2307
230709,金山屯区,2307
230710,五营区,2307
230711,乌马河区,2307
230712,汤旺河区,2307
230713,带岭区,2307
230714,乌伊岭区,2307
230715,红星区,2307
230716,上甘岭区,2307
230722,嘉荫县,2307
230781,铁力市,2307
2308,佳木斯市,23
230803,向阳区,2308
230804,前进区,2308
230805,东风区,2308
230811,郊区,2308
230822,桦南县,2308
230826,桦川县,2308
230828,汤原县,2308
230881,同江市,2308
230882,富锦市,2308
230883,抚远市,2308
2309,七台河市,23
230902,新兴区,2309
230903,桃山区,2309
230904,茄子河区,2309
230921,勃利县,2309
2310,牡丹江市,23
231002,东安区,2310
231003,阳明区,2310
231004,爱民区,2310
231005,西安区,2310
231025,林口县,2310
231081,绥芬河市,2310
231083,海林市,2310
231084,宁安市,2310
231085,穆棱市,2310
231086,东宁市,2310
2311,黑河市,23
231102,爱辉区,2311
231121,嫩江县,2311
231123,逊克县,2311
231124,孙吴县,2311
231181,北安市,2311
231182,五大连池市,2311
2312,绥化市,23
231202,北林区,2312
231221,望奎县,2312
231222,兰西县,2312
231223,青冈县,2312
231224,庆安县,2312
231225,明水县,2312
231226,绥棱县,2312
231281,安达市,2312
231282,肇东市,2312
231283,海伦市,2312
2327,大兴安岭地区,23
232701,漠河市,2327
232721,呼玛县,2327
232722,塔河县,2327
31,上海市, 
3101,市辖区,31
310101,黄浦区,3101
310104,徐汇区,3101
310105,长宁区,3101
310106,静安区,3101
310107,普陀区,3101
310109,虹口区,3101
310110,杨浦区,3101
310112,闵行区,3101
310113,宝山区,3101
310114,嘉定区,3101
310115,浦东新区,3101
310116,金山区,3101
310117,松江区,3101
310118,青浦区,3101
310120,奉贤区,3101
310151,崇明区,3101
32,江苏省, 
3201,南京市,32
320102,玄武区,3201
320104,秦淮区,3201
320105,建邺区,3201
320106,鼓楼区,3201
320111,浦口区,3201
320113,栖霞区,3201
320114,雨花台区,3201
320115,江宁区,3201
320116,六合区,3201
320117,溧水区,3201
320118,高淳区,3201
3202,无锡市,32
320205,锡山区,3202
320206,惠山区,3202
320211,滨湖区,3202
320213,梁溪区,3202
320214,新吴区,3202
320281,江阴市,3202
320282,宜兴市,3202
3203,徐州市,32
320302,鼓楼区,3203
320303,云龙区,3203
320305,贾汪区,3203
320311,泉山区,3203
320312,铜山区,3203
320321,丰县,3203
320322,沛县,3203
320324,睢宁县,3203
320381,新沂市,3203
320382,邳州市,3203
3204,常州市,32
320402,天宁区,3204
320404,钟楼区,3204
320411,新北区,3204
320412,武进区,3204
320413,金坛区,3204
320481,溧阳市,3204
3205,苏州市,32
320505,虎丘区,3205
320506,吴中区,3205
320507,相城区,3205
320508,姑苏区,3205
320509,吴江区,3205
320581,常熟市,3205
320582,张家港市,3205
320583,昆山市,3205
320585,太仓市,3205
3206,南通市,32
320602,崇川区,3206
320611,港闸区,3206
320612,通州区,3206
320623,如东县,3206
320681,启东市,3206
320682,如皋市,3206
320684,海门市,3206
320685,海安市,3206
3207,连云港市,32
320703,连云区,3207
320706,海州区,3207
320707,赣榆区,3207
320722,东海县,3207
320723,灌云县,3207
320724,灌南县,3207
3208,淮安市,32
320803,淮安区,3208
320804,淮阴区,3208
320812,清江浦区,3208
320813,洪泽区,3208
320826,涟水县,3208
320830,盱眙县,3208
320831,金湖县,3208
3209,盐城市,32
320902,亭湖区,3209
320903,盐都区,3209
320904,大丰区,3209
320921,响水县,3209
320922,滨海县,3209
320923,阜宁县,3209
320924,射阳县,3209
320925,建湖县,3209
320981,东台市,3209
3210,扬州市,32
321002,广陵区,3210
321003,邗江区,3210
321012,江都区,3210
321023,宝应县,3210
321081,仪征市,3210
321084,高邮市,3210
3211,镇江市,32
321102,京口区,3211
321111,润州区,3211
321112,丹徒区,3211
321181,丹阳市,3211
321182,扬中市,3211
321183,句容市,3211
3212,泰州市,32
321202,海陵区,3212
321203,高港区,3212
321204,姜堰区,3212
321281,兴化市,3212
321282,靖江市,3212
321283,泰兴市,3212
3213,宿迁市,32
321302,宿城区,3213
321311,宿豫区,3213
321322,沭阳县,3213
321323,泗阳县,3213
321324,泗洪县,3213
33,浙江省, 
3301,杭州市,33
330102,上城区,3301
330103,下城区,3301
330104,江干区,3301
330105,拱墅区,3301
330106,西湖区,3301
330108,滨江区,3301
330109,萧山区,3301
330110,余杭区,3301
330111,富阳区,3301
330112,临安区,3301
330122,桐庐县,3301
330127,淳安县,3301
330182,建德市,3301
3302,宁波市,33
330203,海曙区,3302
330205,江北区,3302
330206,北仑区,3302
330211,镇海区,3302
330212,鄞州区,3302
330213,奉化区,3302
330225,象山县,3302
330226,宁海县,3302
330281,余姚市,3302
330282,慈溪市,3302
3303,温州市,33
330302,鹿城区,3303
330303,龙湾区,3303
330304,瓯海区,3303
330305,洞头区,3303
330324,永嘉县,3303
330326,平阳县,3303
330327,苍南县,3303
330328,文成县,3303
330329,泰顺县,3303
330381,瑞安市,3303
330382,乐清市,3303
3304,嘉兴市,33
330402,南湖区,3304
330411,秀洲区,3304
330421,嘉善县,3304
330424,海盐县,3304
330481,海宁市,3304
330482,平湖市,3304
330483,桐乡市,3304
3305,湖州市,33
330502,吴兴区,3305
330503,南浔区,3305
330521,德清县,3305
330522,长兴县,3305
330523,安吉县,3305
3306,绍兴市,33
330602,越城区,3306
330603,柯桥区,3306
330604,上虞区,3306
330624,新昌县,3306
330681,诸暨市,3306
330683,嵊州市,3306
3307,金华市,33
330702,婺城区,3307
330703,金东区,3307
330723,武义县,3307
330726,浦江县,3307
330727,磐安县,3307
330781,兰溪市,3307
330782,义乌市,3307
330783,东阳市,3307
330784,永康市,3307
3308,衢州市,33
330802,柯城区,3308
330803,衢江区,3308
330822,常山县,3308
330824,开化县,3308
330825,龙游县,3308
330881,江山市,3308
3309,舟山市,33
330902,定海区,3309
330903,普陀区,3309
330921,岱山县,3309
330922,嵊泗县,3309
3310,台州市,33
331002,椒江区,3310
331003,黄岩区,3310
331004,路桥区,3310
331022,三门县,3310
331023,天台县,3310
331024,仙居县,3310
331081,温岭市,3310
331082,临海市,3310
331083,玉环市,3310
3311,丽水市,33
331102,莲都区,3311
331121,青田县,3311
331122,缙云县,3311
331123,遂昌县,3311
331124,松阳县,3311
331125,云和县,3311
331126,庆元县,3311
331127,景宁畲族自治县,3311
331181,龙泉市,3311
34,安徽省, 
3401,合肥市,34
340102,瑶海区,3401
340103,庐阳区,3401
340104,蜀山区,3401
340111,包河区,3401
340121,长丰县,3401
340122,肥东县,3401
340123,肥西县,3401
340124,庐江县,3401
340181,巢湖市,3401
3402,芜湖市,34
340202,镜湖区,3402
340203,弋江区,3402
340207,鸠江区,3402
340208,三山区,3402
340221,芜湖县,3402
340222,繁昌县,3402
340223,南陵县,3402
340225,无为县,3402
3403,蚌埠市,34
340302,龙子湖区,3403
340303,蚌山区,3403
340304,禹会区,3403
340311,淮上区,3403
340321,怀远县,3403
340322,五河县,3403
340323,固镇县,3403
3404,淮南市,34
340402,大通区,3404
340403,田家庵区,3404
340404,谢家集区,3404
340405,八公山区,3404
340406,潘集区,3404
340421,凤台县,3404
340422,寿县,3404
3405,马鞍山市,34
340503,花山区,3405
340504,雨山区,3405
340506,博望区,3405
340521,当涂县,3405
340522,含山县,3405
340523,和县,3405
3406,淮北市,34
340602,杜集区,3406
340603,相山区,3406
340604,烈山区,3406
340621,濉溪县,3406
3407,铜陵市,34
340705,铜官区,3407
340706,义安区,3407
340711,郊区,3407
340722,枞阳县,3407
3408,安庆市,34
340802,迎江区,3408
340803,大观区,3408
340811,宜秀区,3408
340822,怀宁县,3408
340825,太湖县,3408
340826,宿松县,3408
340827,望江县,3408
340828,岳西县,3408
340881,桐城市,3408
340882,潜山市,3408
3410,黄山市,34
341002,屯溪区,3410
341003,黄山区,3410
341004,徽州区,3410
341021,歙县,3410
341022,休宁县,3410
341023,黟县,3410
341024,祁门县,3410
3411,滁州市,34
341102,琅琊区,3411
341103,南谯区,3411
341122,来安县,3411
341124,全椒县,3411
341125,定远县,3411
341126,凤阳县,3411
341181,天长市,3411
341182,明光市,3411
3412,阜阳市,34
341202,颍州区,3412
341203,颍东区,3412
341204,颍泉区,3412
341221,临泉县,3412
341222,太和县,3412
341225,阜南县,3412
341226,颍上县,3412
341282,界首市,3412
3413,宿州市,34
341302,埇桥区,3413
341321,砀山县,3413
341322,萧县,3413
341323,灵璧县,3413
341324,泗县,3413
3415,六安市,34
341502,金安区,3415
341503,裕安区,3415
341504,叶集区,3415
341522,霍邱县,3415
341523,舒城县,3415
341524,金寨县,3415
341525,霍山县,3415
3416,亳州市,34
341602,谯城区,3416
341621,涡阳县,3416
341622,蒙城县,3416
341623,利辛县,3416
3417,池州市,34
341702,贵池区,3417
341721,东至县,3417
341722,石台县,3417
341723,青阳县,3417
3418,宣城市,34
341802,宣州区,3418
341821,郎溪县,3418
341822,广德县,3418
341823,泾县,3418
341824,绩溪县,3418
341825,旌德县,3418
341881,宁国市,3418
35,福建省, 
3501,福州市,35
350102,鼓楼区,3501
350103,台江区,3501
350104,仓山区,3501
350105,马尾区,3501
350111,晋安区,3501
350112,长乐区,3501
350121,闽侯县,3501
350122,连江县,3501
350123,罗源县,3501
350124,闽清县,3501
350125,永泰县,3501
350128,平潭县,3501
350181,福清市,3501
3502,厦门市,35
350203,思明区,3502
350205,海沧区,3502
350206,湖里区,3502
350211,集美区,3502
350212,同安区,3502
350213,翔安区,3502
3503,莆田市,35
350302,城厢区,3503
350303,涵江区,3503
350304,荔城区,3503
350305,秀屿区,3503
350322,仙游县,3503
3504,三明市,35
350402,梅列区,3504
350403,三元区,3504
350421,明溪县,3504
350423,清流县,3504
350424,宁化县,3504
350425,大田县,3504
350426,尤溪县,3504
350427,沙县,3504
350428,将乐县,3504
350429,泰宁县,3504
350430,建宁县,3504
350481,永安市,3504
3505,泉州市,35
350502,鲤城区,3505
350503,丰泽区,3505
350504,洛江区,3505
350505,泉港区,3505
350521,惠安县,3505
350524,安溪县,3505
350525,永春县,3505
350526,德化县,3505
350527,金门县,3505
350581,石狮市,3505
350582,晋江市,3505
350583,南安市,3505
3506,漳州市,35
350602,芗城区,3506
350603,龙文区,3506
350622,云霄县,3506
350623,漳浦县,3506
350624,诏安县,3506
350625,长泰县,3506
350626,东山县,3506
350627,南靖县,3506
350628,平和县,3506
350629,华安县,3506
350681,龙海市,3506
3507,南平市,35
350702,延平区,3507
350703,建阳区,3507
350721,顺昌县,3507
350722,浦城县,3507
350723,光泽县,3507
350724,松溪县,3507
350725,政和县,3507
350781,邵武市,3507
350782,武夷山市,3507
350783,建瓯市,3507
3508,龙岩市,35
350802,新罗区,3508
350803,永定区,3508
350821,长汀县,3508
350823,上杭县,3508
350824,武平县,3508
350825,连城县,3508
350881,漳平市,3508
3509,宁德市,35
350902,蕉城区,3509
350921,霞浦县,3509
350922,古田县,3509
350923,屏南县,3509
350924,寿宁县,3509
350925,周宁县,3509
350926,柘荣县,3509
350981,福安市,3509
350982,福鼎市,3509
36,江西省, 
3601,南昌市,36
360102,东湖区,3601
360103,西湖区,3601
360104,青云谱区,3601
360105,湾里区,3601
360111,青山湖区,3601
360112,新建区,3601
360121,南昌县,3601
360123,安义县,3601
360124,进贤县,3601
3602,景德镇市,36
360202,昌江区,3602
360203,珠山区,3602
360222,浮梁县,3602
